구분,이름,주소,lat,lng,비고
트램,연축지구,대전 대덕구 신대동 357-5,36.3977804796855,127.420537712667,키워드검색: 신대지구 제1공영주차장
트램,대덕경찰서,대전 대덕구 계족로 670,36.37180826996474,127.42930256105926,키워드검색: 대전대덕경찰서
트램,한전 대전본부,대전 동구 송촌남로11번길 188,36.35945176995258,127.43419159779316,키워드검색: 한국전력공사 대전세종충남본부 자재센터
트램,오문창순대국밥,대전 대덕구 한밭대로 1153,36.35922857943825,127.42660293234012,키워드검색: 오문창순대국밥
트램,수정타운아파트,대전 서구 청사로 282,36.3590884425271,127.39719507539547,키워드검색: 수정타운아파트
트램,정부청사역,대전 서구 한밭대로 지하 744,36.3574713520615,127.381268082318,키워드검색 재수정: 정부청사역 대전1호선 (기존 과천 오매칭 교체)
트램,국립중앙과학관,대전 유성구 대덕대로 481,36.3771313762916,127.374989549684,키워드검색: 국립중앙과학관
트램,다솔아파트,대전 유성구 궁동로 5,36.36217558393773,127.34692897338373,키워드검색: 다솔아파트
트램,대전시립박물관,대전 유성구 도안대로 398,36.33686403099341,127.33532404846524,키워드검색: 대전시립박물관
트램,어린이재활병원,대전 서구 도안중로 133,36.30852960393674,127.3341838876106,키워드검색: 대전세종충남넥슨후원 공공어린이재활병원
트램,가수원교,대전 서구 정림동 402,36.30653285451992,127.35895993225816,키워드검색: 가수원교
트램,도마삼거리,대전 서구 도마동 503,36.3106778046111,127.374684437179,키워드검색: 도마삼거리
트램,버드내네거리,대전 중구 태평동,36.3168603266994,127.391426303534,키워드검색: 버드내네거리
트램,보문교,대전 동구 인동 351-2,36.3211995146762,127.43619764933896,키워드검색: 보문교
트램,우송대학교,대전 동구 동대전로 171,36.33708961202226,127.44509005030103,키워드검색: 우송대학교 서캠퍼스
물류창고,로젠주식회사,대전광역시 동구 안골로28번길 30 (구도동),36.2712738012227,127.469862681991,
물류창고,쿠팡로지스틱스서비스 유한회사(대전2서브허브 외 1),대전광역시 동구 안골로 33 (구도동),36.2688927940285,127.473857318381,
물류창고,CJ대한통운(주) 대전생수센터,"대전광역시 동구 하소로 53, 대전킴벌리하소동창고 1동 (하소동)",36.2201710792542,127.438786784614,
물류창고,쿠팡로지스틱스서비스 유한회사 대전1모바일캠프,"대전광역시 유성구 대정북로 20, 오성철강(주) 가동 (대정동)",36.3153451581299,127.317587621282,
물류창고,(주)비지에프로지스 대전센터,"대전광역시 유성구 대정북로 67, (주)비지에프리테일대전물류센터 (대정동)",36.3171910567715,127.323499676505,
물류창고,도시산업개발,대전광역시 동구 하소중로 8(하소동),36.2214141480952,127.440684914127,
물류창고,주식회사 베니스,대전광역시 동구 하소로 36(하소동),36.2189759903775,127.440067665999,
물류창고,쿠팡로지스틱스서비스 유한회사 대전2미니캠프,대전광역시 대덕구 상서당1길 34(상서동),36.4235296378376,127.421252796312,
물류창고,쿠팡로지스틱스서비스 유한회사 대전2캠프,대전광역시 대덕구 생산5길 14(대화동),36.3650808028098,127.408971108848,
물류창고,(주)에이치씨인터내셔널,대전광역시 동구 물류로14번길 32(구도동),36.2731345353127,127.467294163554,
